year,country,city,avg_temp
1832,Brazil,Rio De Janeiro,23.05
1833,Brazil,Rio De Janeiro,24.11
1834,Brazil,Rio De Janeiro,23.27
1835,Brazil,Rio De Janeiro,22.73
1836,Brazil,Rio De Janeiro,22.91
1837,Brazil,Rio De Janeiro,22.29
1838,Brazil,Rio De Janeiro,22.81
1839,Brazil,Rio De Janeiro,22.54
1840,Brazil,Rio De Janeiro,23.32
1841,Brazil,Rio De Janeiro,22.97
1842,Brazil,Rio De Janeiro,23.41
1843,Brazil,Rio De Janeiro,23.55
1844,Brazil,Rio De Janeiro,
1845,Brazil,Rio De Janeiro,
1846,Brazil,Rio De Janeiro,
1847,Brazil,Rio De Janeiro,
1848,Brazil,Rio De Janeiro,
1849,Brazil,Rio De Janeiro,
1850,Brazil,Rio De Janeiro,
1851,Brazil,Rio De Janeiro,23.53
1852,Brazil,Rio De Janeiro,23.74
1853,Brazil,Rio De Janeiro,23.76
1854,Brazil,Rio De Janeiro,23.83
1855,Brazil,Rio De Janeiro,23.89
1856,Brazil,Rio De Janeiro,22.83
1857,Brazil,Rio De Janeiro,23.46
1858,Brazil,Rio De Janeiro,22.37
1859,Brazil,Rio De Janeiro,23.04
1860,Brazil,Rio De Janeiro,23.91
1861,Brazil,Rio De Janeiro,23.04
1862,Brazil,Rio De Janeiro,23.04
1863,Brazil,Rio De Janeiro,22.95
1864,Brazil,Rio De Janeiro,23.02
1865,Brazil,Rio De Janeiro,22.89
1866,Brazil,Rio De Janeiro,23.10
1867,Brazil,Rio De Janeiro,23.26
1868,Brazil,Rio De Janeiro,24.32
1869,Brazil,Rio De Janeiro,24.20
1870,Brazil,Rio De Janeiro,24.22
1871,Brazil,Rio De Janeiro,23.84
1872,Brazil,Rio De Janeiro,23.75
1873,Brazil,Rio De Janeiro,23.94
1874,Brazil,Rio De Janeiro,23.23
1875,Brazil,Rio De Janeiro,22.85
1876,Brazil,Rio De Janeiro,23.05
1877,Brazil,Rio De Janeiro,23.80
1878,Brazil,Rio De Janeiro,24.30
1879,Brazil,Rio De Janeiro,22.84
1880,Brazil,Rio De Janeiro,24.01
1881,Brazil,Rio De Janeiro,23.29
1882,Brazil,Rio De Janeiro,22.65
1883,Brazil,Rio De Janeiro,22.98
1884,Brazil,Rio De Janeiro,22.85
1885,Brazil,Rio De Janeiro,23.75
1886,Brazil,Rio De Janeiro,22.94
1887,Brazil,Rio De Janeiro,23.49
1888,Brazil,Rio De Janeiro,23.82
1889,Brazil,Rio De Janeiro,24.17
1890,Brazil,Rio De Janeiro,23.38
1891,Brazil,Rio De Janeiro,23.55
1892,Brazil,Rio De Janeiro,23.40
1893,Brazil,Rio De Janeiro,22.68
1894,Brazil,Rio De Janeiro,23.62
1895,Brazil,Rio De Janeiro,23.36
1896,Brazil,Rio De Janeiro,23.35
1897,Brazil,Rio De Janeiro,23.31
1898,Brazil,Rio De Janeiro,23.54
1899,Brazil,Rio De Janeiro,23.95
1900,Brazil,Rio De Janeiro,23.48
1901,Brazil,Rio De Janeiro,23.07
1902,Brazil,Rio De Janeiro,23.99
1903,Brazil,Rio De Janeiro,23.73
1904,Brazil,Rio De Janeiro,23.17
1905,Brazil,Rio De Janeiro,23.84
1906,Brazil,Rio De Janeiro,23.74
1907,Brazil,Rio De Janeiro,23.36
1908,Brazil,Rio De Janeiro,23.57
1909,Brazil,Rio De Janeiro,23.33
1910,Brazil,Rio De Janeiro,23.31
1911,Brazil,Rio De Janeiro,23.36
1912,Brazil,Rio De Janeiro,23.48
1913,Brazil,Rio De Janeiro,23.72
1914,Brazil,Rio De Janeiro,24.28
1915,Brazil,Rio De Janeiro,24.06
1916,Brazil,Rio De Janeiro,23.52
1917,Brazil,Rio De Janeiro,22.62
1918,Brazil,Rio De Janeiro,23.26
1919,Brazil,Rio De Janeiro,23.73
1920,Brazil,Rio De Janeiro,23.64
1921,Brazil,Rio De Janeiro,23.41
1922,Brazil,Rio De Janeiro,23.91
1923,Brazil,Rio De Janeiro,23.85
1924,Brazil,Rio De Janeiro,23.25
1925,Brazil,Rio De Janeiro,23.49
1926,Brazil,Rio De Janeiro,23.83
1927,Brazil,Rio De Janeiro,23.67
1928,Brazil,Rio De Janeiro,24.09
1929,Brazil,Rio De Janeiro,23.80
1930,Brazil,Rio De Janeiro,24.04
1931,Brazil,Rio De Janeiro,23.54
1932,Brazil,Rio De Janeiro,24.23
1933,Brazil,Rio De Janeiro,23.01
1934,Brazil,Rio De Janeiro,23.79
1935,Brazil,Rio De Janeiro,23.89
1936,Brazil,Rio De Janeiro,24.02
1937,Brazil,Rio De Janeiro,23.61
1938,Brazil,Rio De Janeiro,23.92
1939,Brazil,Rio De Janeiro,23.95
1940,Brazil,Rio De Janeiro,24.17
1941,Brazil,Rio De Janeiro,24.22
1942,Brazil,Rio De Janeiro,23.86
1943,Brazil,Rio De Janeiro,23.54
1944,Brazil,Rio De Janeiro,23.85
1945,Brazil,Rio De Janeiro,23.61
1946,Brazil,Rio De Janeiro,24.34
1947,Brazil,Rio De Janeiro,23.63
1948,Brazil,Rio De Janeiro,24.02
1949,Brazil,Rio De Janeiro,23.56
1950,Brazil,Rio De Janeiro,24.03
1951,Brazil,Rio De Janeiro,23.25
1952,Brazil,Rio De Janeiro,23.97
1953,Brazil,Rio De Janeiro,24.01
1954,Brazil,Rio De Janeiro,24.22
1955,Brazil,Rio De Janeiro,23.62
1956,Brazil,Rio De Janeiro,23.47
1957,Brazil,Rio De Janeiro,23.97
1958,Brazil,Rio De Janeiro,24.62
1959,Brazil,Rio De Janeiro,24.61
1960,Brazil,Rio De Janeiro,23.80
1961,Brazil,Rio De Janeiro,24.64
1962,Brazil,Rio De Janeiro,23.44
1963,Brazil,Rio De Janeiro,24.29
1964,Brazil,Rio De Janeiro,23.47
1965,Brazil,Rio De Janeiro,24.30
1966,Brazil,Rio De Janeiro,24.36
1967,Brazil,Rio De Janeiro,24.20
1968,Brazil,Rio De Janeiro,23.30
1969,Brazil,Rio De Janeiro,24.15
1970,Brazil,Rio De Janeiro,24.06
1971,Brazil,Rio De Janeiro,24.00
1972,Brazil,Rio De Janeiro,24.41
1973,Brazil,Rio De Janeiro,24.38
1974,Brazil,Rio De Janeiro,23.92
1975,Brazil,Rio De Janeiro,23.57
1976,Brazil,Rio De Janeiro,23.77
1977,Brazil,Rio De Janeiro,24.64
1978,Brazil,Rio De Janeiro,24.01
1979,Brazil,Rio De Janeiro,23.61
1980,Brazil,Rio De Janeiro,24.35
1981,Brazil,Rio De Janeiro,24.02
1982,Brazil,Rio De Janeiro,24.02
1983,Brazil,Rio De Janeiro,24.14
1984,Brazil,Rio De Janeiro,24.62
1985,Brazil,Rio De Janeiro,24.10
1986,Brazil,Rio De Janeiro,24.75
1987,Brazil,Rio De Janeiro,24.55
1988,Brazil,Rio De Janeiro,24.00
1989,Brazil,Rio De Janeiro,24.07
1990,Brazil,Rio De Janeiro,24.64
1991,Brazil,Rio De Janeiro,24.25
1992,Brazil,Rio De Janeiro,24.24
1993,Brazil,Rio De Janeiro,24.65
1994,Brazil,Rio De Janeiro,24.71
1995,Brazil,Rio De Janeiro,24.77
1996,Brazil,Rio De Janeiro,24.28
1997,Brazil,Rio De Janeiro,24.71
1998,Brazil,Rio De Janeiro,24.78
1999,Brazil,Rio De Janeiro,24.01
2000,Brazil,Rio De Janeiro,24.36
2001,Brazil,Rio De Janeiro,24.99
2002,Brazil,Rio De Janeiro,25.18
2003,Brazil,Rio De Janeiro,24.90
2004,Brazil,Rio De Janeiro,24.24
2005,Brazil,Rio De Janeiro,24.79
2006,Brazil,Rio De Janeiro,24.57
2007,Brazil,Rio De Janeiro,24.78
2008,Brazil,Rio De Janeiro,24.26
2009,Brazil,Rio De Janeiro,24.98
2010,Brazil,Rio De Janeiro,24.95
2011,Brazil,Rio De Janeiro,24.32
2012,Brazil,Rio De Janeiro,24.84
2013,Brazil,Rio De Janeiro,25.19
